card,round,a0,ttc0,a1,ttc1,a2,ttc2,a3,ttc3,a4,ttc4,a5,ttc5,a6,ttc6,a7,ttc7,a8,ttc8,a9,ttc9
69,135967,0,43,0,19,1,121,0,90,0,7,0,11,0,1,25,1978,0,12,2,90
70,137969,0,45,0,22,1,131,0,103,0,11,0,13,0,2,26,2100,0,16,3,109
71,140048,0,48,0,23,1,151,0,111,0,12,0,16,0,2,28,2229,1,19,3,129
72,141980,0,51,0,28,1,165,0,116,0,14,0,18,0,2,28,2356,1,23,3,137
73,144035,0,55,0,31,1,176,0,125,0,15,0,19,0,2,30,2474,1,30,3,156
74,146085,0,62,0,34,1,199,0,137,0,18,0,22,0,3,33,2612,2,33,3,179
75,148141,0,65,0,36,1,214,0,146,0,19,0,25,0,5,34,2765,2,37,3,203
76,150082,0,72,0,43,1,239,0,167,0,25,0,27,0,6,34,2884,2,42,3,219
77,152150,0,78,0,50,1,254,0,175,0,25,0,28,0,6,35,3043,2,55,3,238
78,154188,0,87,0,57,1,282,0,191,0,29,0,31,0,7,36,3199,2,66,3,266
79,156158,0,90,0,60,1,303,0,206,0,33,0,35,0,9,36,3367,2,74,3,298
80,158184,0,96,0,68,1,326,0,225,0,34,0,37,0,11,39,3537,2,81,3,323
81,160246,0,100,0,73,1,357,0,237,0,36,0,44,0,14,41,3719,2,93,3,360
82,162246,0,108,0,79,1,386,0,252,0,39,0,50,0,17,43,3896,2,108,6,386
83,164324,0,117,0,89,1,414,0,273,0,41,0,54,0,21,46,4062,2,121,6,427
84,166306,0,125,0,103,1,438,0,296,0,46,0,59,0,26,50,4237,2,134,6,451
85,168391,0,136,0,106,1,472,0,318,0,50,0,64,0,32,52,4436,2,145,6,501
86,170359,0,143,0,117,1,493,0,333,0,55,0,71,0,36,55,4619,2,155,6,525
87,172432,0,154,0,125,1,534,0,355,0,59,0,80,0,42,59,4795,2,174,6,577
88,174413,0,162,0,135,1,566,0,378,0,66,0,87,0,44,65,4961,2,188,7,613
89,176433,0,180,0,142,1,597,0,403,0,68,0,97,0,50,66,5138,2,206,9,662
90,178499,0,194,0,162,1,649,0,425,0,77,0,106,0,53,68,5324,2,227,9,694
91,180517,0,206,0,174,1,686,0,456,0,82,0,111,0,63,74,5552,2,251,9,750
92,182599,0,217,1,191,1,732,0,494,0,95,0,122,0,68,80,5783,2,272,10,795
93,184530,0,233,1,205,1,773,0,529,0,102,0,137,0,79,83,5979,2,292,10,849
94,186542,0,252,1,220,1,818,0,556,0,109,0,147,1,88,86,6183,2,314,11,893
95,188561,0,272,1,235,1,862,0,582,0,112,0,155,1,94,89,6366,2,336,11,948
96,190689,0,287,1,254,2,912,0,619,0,122,0,162,1,107,92,6633,2,356,11,1009
97,192645,0,309,1,276,2,973,0,656,0,133,0,179,2,120,96,6873,3,387,11,1069
98,194655,0,326,1,296,2,1031,0,695,0,145,0,195,2,126,97,7059,4,409,12,1125
99,196680,0,347,1,315,2,1084,0,730,1,155,0,210,2,137,100,7270,4,442,12,1188
100,198732,1,376,1,339,2,1137,0,776,1,161,0,221,2,153,103,7504,4,471,13,1259
101,200711,1,401,1,365,2,1193,0,814,1,174,0,239,2,161,104,7720,4,509,14,1317
102,202785,1,420,1,390,3,1255,0,857,1,190,0,253,2,173,110,7951,4,534,14,1371
103,204815,2,440,2,416,3,1317,0,897,1,203,0,272,2,185,111,8148,5,560,15,1446
104,206819,2,466,2,439,3,1393,0,945,1,216,0,286,2,200,113,8384,5,593,16,1517
105,208846,2,497,2,476,3,1453,0,998,1,231,0,302,2,215,116,8623,5,636,16,1601
106,210927,2,529,2,504,3,1522,0,1056,1,247,0,323,2,230,119,8902,5,674,16,1673
107,212849,2,549,2,534,3,1591,0,1093,1,267,0,355,4,252,121,9126,5,707,18,1750
108,214887,2,587,2,557,3,1679,0,1154,1,288,1,382,5,270,122,9390,5,746,18,1849
109,216966,2,613,2,590,3,1752,0,1202,1,307,1,400,5,286,126,9649,5,790,18,1925
110,218959,2,654,2,625,3,1830,2,1259,1,324,1,419,5,302,128,9900,6,833,18,2001
111,220990,2,682,2,660,3,1901,2,1302,1,342,1,448,5,319,130,10172,6,870,18,2078
