card,round,a0,ttc0,a1,ttc1,a2,ttc2,a3,ttc3,a4,ttc4,a5,ttc5,a6,ttc6,a7,ttc7,a8,ttc8,a9,ttc9
69,135826,0,13,0,17,1,160,0,75,0,2,0,4,0,0,19,2060,0,10,0,92
70,137828,0,13,0,18,1,177,0,85,0,2,0,5,0,0,21,2202,0,12,1,107
71,139848,0,18,0,24,1,191,0,99,0,3,0,7,0,2,25,2344,0,17,1,115
72,141845,0,20,0,27,1,210,0,108,0,3,0,9,0,4,30,2463,0,23,1,132
73,143870,0,22,0,27,1,228,0,121,0,5,0,9,0,4,31,2590,0,28,1,152
74,145878,0,24,0,33,1,252,0,134,0,8,0,10,0,4,31,2729,0,30,1,171
75,147957,0,27,0,38,1,272,0,147,0,10,0,17,0,8,33,2877,0,39,2,187
76,149994,0,31,0,43,1,301,0,161,0,10,0,21,0,9,34,3022,0,43,2,202
77,151998,0,42,0,52,1,329,0,168,0,11,0,26,0,11,36,3158,0,54,2,219
78,153984,0,48,0,55,1,361,0,182,0,13,0,26,0,11,37,3310,0,60,2,253
79,156012,0,49,0,61,1,393,0,204,0,15,0,28,0,14,42,3482,0,67,3,273
80,158090,0,54,0,68,1,431,0,223,0,16,0,30,0,17,43,3664,0,75,3,301
81,160124,0,65,0,76,1,454,0,241,0,17,0,40,0,19,46,3834,0,85,3,321
82,162102,0,68,0,85,1,483,0,261,0,21,0,47,0,21,49,4006,0,98,3,356
83,164125,0,75,0,92,1,513,0,283,1,26,0,52,0,23,51,4167,0,109,3,389
84,166151,0,84,0,97,1,550,0,308,1,26,0,55,0,27,55,4329,0,119,3,414
85,168211,0,93,0,105,1,581,0,329,1,34,0,59,0,32,59,4518,0,128,3,442
86,170210,0,102,0,120,1,608,0,353,1,38,0,65,0,35,60,4702,0,138,3,478
87,172239,0,112,0,131,1,646,0,368,1,41,1,72,0,38,60,4874,0,160,3,512
88,174256,0,120,0,144,1,692,0,392,1,44,1,78,0,40,64,5038,0,176,4,547
89,176275,0,132,0,151,1,739,0,414,1,50,1,84,0,43,65,5206,0,191,5,590
90,178360,0,144,0,164,1,771,0,438,1,54,1,95,0,48,68,5400,0,204,6,635
91,180348,0,162,0,177,1,815,0,470,1,65,1,104,0,55,70,5602,0,221,7,676
92,182394,0,175,0,198,1,866,0,505,1,71,1,111,1,58,72,5822,0,242,7,719
93,184409,0,192,0,213,2,909,0,528,1,73,1,120,1,63,77,6024,0,272,7,758
94,186416,0,200,0,227,2,953,0,560,1,78,1,129,2,73,80,6245,0,284,7,804
95,188399,1,214,0,245,2,996,0,586,1,91,1,139,2,80,83,6453,0,308,7,850
96,190471,1,228,0,257,2,1050,0,623,1,99,1,147,2,85,85,6677,0,337,8,914
97,192532,1,243,0,277,2,1100,0,649,1,109,1,167,2,92,90,6891,1,374,8,961
98,194536,2,261,0,300,2,1160,0,689,1,114,1,177,2,102,94,7109,1,399,9,1014
99,196496,2,279,0,321,3,1221,0,724,1,125,1,187,2,111,95,7313,1,424,9,1057
100,198573,2,295,0,340,3,1282,0,765,1,137,1,199,2,119,98,7540,2,448,9,1116
101,200590,2,315,0,369,3,1328,0,788,1,149,1,208,2,134,101,7768,2,482,9,1181
102,202625,2,337,0,384,3,1383,0,833,1,160,1,228,2,145,106,8018,2,511,10,1249
103,204604,4,347,0,404,3,1440,0,870,1,171,1,247,2,152,108,8242,2,547,11,1303
104,206658,4,372,0,435,5,1517,0,919,1,184,1,262,2,169,111,8494,2,578,11,1369
105,208684,4,396,0,469,5,1580,0,963,1,199,1,276,2,190,113,8752,3,618,11,1438
106,210767,4,414,0,500,6,1650,0,1007,1,213,1,298,2,209,117,8996,3,659,13,1540
107,212761,4,435,0,518,6,1715,0,1063,1,224,1,316,2,226,121,9249,4,711,13,1616
108,214760,4,453,0,558,6,1780,0,1104,1,244,1,341,2,243,122,9495,4,748,15,1692
109,216746,4,475,0,581,7,1869,0,1158,1,257,1,361,2,262,123,9751,4,794,15,1752
110,218849,4,501,0,616,8,1944,0,1222,1,271,1,379,3,286,130,10032,5,828,15,1827
111,220864,4,531,1,637,8,2028,0,1276,1,285,2,398,3,309,135,10285,7,870,15,1916
112,222886,4,558,1,678,8,2094,0,1330,1,296,2,420,3,328,138,10535,7,925,15,2005
113,224876,4,584,1,714,8,2181,0,1392,1,317,2,443,3,349,142,10811,8,977,15,2087
114,226916,4,629,1,759,8,2273,0,1450,1,344,3,469,3,382,147,11087,9,1028,16,2161
115,228949,5,658,1,796,9,2364,0,1522,1,360,3,496,3,416,153,11335,10,1082,16,2255
116,231021,5,694,1,828,10,2443,1,1570,1,376,3,521,3,442,155,11624,11,1138,17,2363
117,233011,5,730,1,872,10,2547,1,1633,1,404,3,548,3,458,160,11893,11,1195,20,2455
118,234991,5,763,1,911,10,2625,1,1680,1,427,4,572,3,487,165,12206,11,1245,22,2546
119,237015,5,806,1,958,11,2717,1,1762,1,453,5,603,4,518,170,12497,11,1294,23,2633
120,239134,5,852,1,1004,12,2811,1,1834,1,480,5,632,4,557,178,12807,11,1342,23,2725
121,241108,5,884,1,1040,13,2919,1,1900,1,506,6,665,4,591,186,13096,12,1407,23,2809
122,243143,5,927,1,1087,13,3039,1,1968,1,535,7,693,4,619,188,13396,12,1478,24,2908
123,245152,5,967,1,1137,14,3143,2,2040,1,565,7,727,5,654,192,13705,12,1555,27,3023
124,247179,5,1022,2,1190,14,3236,2,2114,1,585,7,762,6,684,195,14015,12,1621,29,3119
125,249171,5,1061,2,1227,15,3343,2,2186,1,617,8,799,6,720,198,14312,12,1689,29,3234
126,251292,5,1116,2,1260,16,3461,2,2271,1,652,8,836,6,750,202,14656,12,1762,29,3344
127,253246,5,1151,2,1311,16,3582,2,2348,1,686,8,871,6,795,208,14937,13,1840,30,3453
128,255290,5,1208,2,1373,16,3691,3,2432,1,717,8,911,7,835,211,15247,13,1908,30,3574
129,257343,5,1254,2,1435,16,3801,3,2518,1,766,8,945,7,883,215,15571,15,1978,31,3680
130,259372,6,1323,2,1493,16,3928,3,2609,1,791,9,996,7,917,220,15924,15,2041,33,3805
131,261377,6,1382,2,1541,17,4052,3,2702,2,827,9,1032,7,953,225,16231,15,2133,33,3940
132,263479,6,1436,2,1595,18,4184,3,2800,3,871,9,1078,8,997,232,16578,15,2223,33,4065
133,265478,6,1482,3,1660,19,4321,3,2883,3,925,10,1126,9,1036,239,16924,15,2307,34,4189
134,267474,6,1554,3,1718,19,4460,3,2995,3,967,10,1181,11,1085,242,17240,17,2380,35,4336
135,269515,6,1614,3,1778,19,4579,3,3085,3,1012,10,1228,11,1117,244,17599,19,2471,37,4484
136,271565,6,1687,3,1866,20,4711,4,3179,4,1056,10,1284,11,1172,255,17948,19,2558,37,4629
137,273589,6,1735,3,1932,21,4849,5,3281,4,1103,10,1345,14,1222,261,18278,19,2660,37,4757
138,275620,6,1815,3,1998,21,4993,5,3401,4,1142,12,1391,14,1276,267,18618,20,2765,38,4889
139,277605,7,1877,3,2054,22,5163,6,3494,4,1200,12,1458,15,1314,275,18948,20,2850,40,5050
140,279598,8,1945,3,2135,22,5303,6,3605,4,1251,12,1508,15,1359,282,19284,22,2941,45,5205
141,281653,8,2012,3,2211,22,5452,6,3704,4,1306,12,1560,16,1412,283,19631,23,3054,46,5366
142,283754,8,2085,3,2299,24,5614,8,3836,4,1349,12,1615,17,1468,291,19977,25,3161,46,5529
143,285743,8,2159,3,2371,24,5768,8,3971,4,1402,12,1699,17,1536,296,20343,26,3262,46,5657
144,287762,8,2243,3,2456,25,5925,8,4094,4,1461,12,1764,17,1594,302,20698,26,3349,48,5817
145,289753,8,2307,3,2543,25,6073,9,4208,4,1517,13,1817,17,1654,312,21069,26,3459,50,5979
146,291782,8,2397,3,2642,25,6224,9,4337,4,1583,13,1890,18,1707,319,21411,26,3571,51,6122
147,293873,8,2466,3,2720,25,6381,9,4459,4,1636,13,1962,18,1778,325,21811,26,3682,51,6303
148,295937,8,2546,3,2800,26,6568,10,4587,5,1684,14,2030,20,1839,330,22189,26,3801,55,6482
149,297875,9,2620,3,2880,26,6730,10,4720,6,1748,14,2106,21,1903,337,22551,27,3913,56,6627
150,299853,9,2719,3,2967,29,6881,10,4867,6,1816,14,2182,21,1963,342,22890,27,4036,57,6789
151,301874,9,2790,3,3065,29,7041,10,5002,6,1886,14,2267,23,2029,350,23284,28,4146,59,6953
152,303942,9,2891,3,3174,29,7240,11,5146,6,1955,14,2356,23,2112,353,23669,29,4265,61,7140
153,306001,9,2973,3,3255,29,7418,11,5277,7,2012,14,2427,24,2178,357,24067,29,4383,63,7319
154,308019,9,3066,3,3349,29,7589,11,5416,7,2095,15,2508,25,2248,361,24440,31,4506,64,7477
155,310017,10,3137,3,3443,30,7747,12,5558,7,2162,15,2584,25,2316,366,24815,32,4647,66,7662
156,312051,11,3240,3,3560,30,7943,13,5719,7,2242,15,2666,26,2410,376,25247,37,4775,67,7868
157,314073,11,3325,3,3666,30,8165,13,5881,8,2318,16,2769,27,2480,382,25663,39,4908,69,8064
